slug,display_name,category,cluster_label,rule_label,stage,persistence,volatility,F_T,F_S,slope_norm,recent_change,duration_ratio,cv_resid,peak_sharpness,time_to_peak,peak_value,current_value,n_weeks,used_period,cluster
shoes_17,캔버스화,shoes,메가,마이크로,쇠퇴,-1.4124,0.3732,0.0552,0.0356,-0.1532,-0.1293,0.1336,1.5531,2.1277,0.0,100.0,19.0,262,52,1
shoes_19,롱부츠,shoes,메가,스테디,쇠퇴/잔존,-0.6815,-0.5402,0.1543,0.6927,-0.0202,0.0096,0.2061,0.3751,2.9412,0.295,100.0,20.0,262,52,1
shoes_20,앵클부츠,shoes,메가,스테디,쇠퇴,-1.221,-0.2803,0.0573,0.5745,-0.1753,-0.1198,0.1718,1.0111,2.0,0.0,100.0,11.0,262,52,1
shoes_21,젤리슈즈,shoes,마이크로,마이크로,쇠퇴,-2.2302,3.715,0.0,0.131,-0.0318,-0.339,0.0076,3.6603,4.3478,0.2184,100.0,38.0,262,52,0
shoes_a02,런닝화,shoes,스테디,메가,성장,2.162,-1.0118,0.7953,0.7647,0.1564,0.1304,0.2824,0.1319,2.5,1.0,100.0,43.0,262,52,2
shoes_a03,트레킹화,shoes,메가,마이크로,쇠퇴/잔존,-0.9045,-0.5915,0.1629,0.4202,-0.0766,0.0104,0.1527,0.3639,2.8571,0.0,100.0,26.0,262,52,1
shoes_a04,등산화,shoes,메가,스테디,성장,3.3218,-1.3024,0.759,0.7743,-0.0858,0.1585,0.5534,0.1114,1.9231,0.0,100.0,41.0,262,52,1
shoes_a07,블로퍼,shoes,마이크로,마이크로,쇠퇴/잔존,-1.7175,1.644,0.0284,0.0,-0.1073,-0.0187,0.0916,2.9077,1.6667,0.0,100.0,11.0,262,52,0
shoes_a08,플랫슈즈,shoes,마이크로,마이크로,성장,-1.1745,0.0458,0.0789,0.2389,0.344,0.2707,0.1641,1.3412,1.9231,1.0,100.0,53.0,262,52,0
bag_01,토트백,bag,스테디,메가,성장,2.6459,-1.254,0.622,0.4587,0.0673,0.2306,0.5229,0.1229,2.0,1.0,100.0,58.0,262,52,2
bag_02,숄더백,bag,스테디,메가,성장,2.4007,-1.227,0.5207,0.3235,0.1006,0.1927,0.5534,0.1642,1.9608,1.0,100.0,59.0,262,52,2
bag_03,크로스백,bag,스테디,메가,성장,4.5351,-1.5173,0.5613,0.4771,-0.0037,0.1192,0.9656,0.0979,1.4925,1.0,100.0,59.0,262,52,2
bag_04,백팩,bag,스테디,메가,성장,4.1028,-1.3851,0.6957,0.5714,0.1133,0.1568,0.7672,0.1075,1.7544,1.0,100.0,58.0,262,52,2
bag_05,클러치,bag,메가,메가,쇠퇴/잔존,3.3753,-1.3275,0.6023,0.2121,-0.0641,0.0431,0.6908,0.1187,1.8519,0.0,100.0,51.0,262,52,1
bag_06,버킷백,bag,메가,마이크로,쇠퇴/잔존,0.0751,-0.6166,0.4069,0.2922,-0.1778,0.0244,0.1603,0.4366,2.6316,0.0,100.0,27.0,262,52,1
bag_07,호보백,bag,스테디,마이크로,성장,0.2956,-0.9737,0.1086,0.1404,0.0134,0.2,0.4466,0.3613,2.0408,1.0,100.0,48.0,262,52,2
bag_08,미니백,bag,스테디,메가,성장,3.4591,-1.4441,0.4439,0.2914,-0.0031,0.1494,0.8359,0.135,1.5625,1.0,100.0,63.0,262,52,2
bag_09,에코백,bag,메가,메가,성장,1.7373,-1.1902,0.4296,0.4151,-0.0188,0.1165,0.4885,0.1638,2.0408,0.0,100.0,52.0,262,52,1
bag_10,보스턴백,bag,스테디,마이크로,성장,1.2039,-1.0305,0.41,0.3009,0.1633,0.161,0.3931,0.2727,2.1277,1.0,100.0,48.0,262,52,2
bag_11,카메라백,bag,마이크로,마이크로,도입,-1.3547,0.5409,0.018,0.0,0.1981,0.1766,0.1756,1.8442,1.8018,1.0,100.0,38.0,262,52,0
bag_13,체인백,bag,마이크로,마이크로,쇠퇴/잔존,-1.6257,0.4348,0.0,0.043,0.086,0.0936,0.1336,1.6281,2.0833,1.0,100.0,24.0,262,52,0
